anio,departamento/sede,tipo,valor
2017,QUILMES,Caducidad,139
2017,SAN ISIDRO,Caducidad,2328
2017,SAN MARTIN,Caducidad,692
2017,SAN NICOLAS,Caducidad,27
2017,TRENQUE LAUQUEN,Caducidad,10
2017,ZARATE-CAMPANA,Caducidad,84
2017,AZUL,Desistimiento,57
2017,AZUL Sede OLAVARRIA,Desistimiento,31
2017,AZUL Sede TANDIL,Desistimiento,56
2017,BAHIA BLANCA,Desistimiento,210
2017,BAHIA BLANCA Sede TRES ARROYOS,Desistimiento,32
2017,DOLORES,Desistimiento,11
2017,JUNIN,Desistimiento,41
2017,LA MATANZA,Desistimiento,221
2017,LA PLATA,Desistimiento,112
2017,LOMAS DE ZAMORA,Desistimiento,251
2017,LOMAS DE ZAMORA Sede AVELLANEDA,Desistimiento,0
2017,LOMAS DE ZAMORA Sede LANUS,Desistimiento,4
2017,MAR DEL PLATA,Desistimiento,78
2017,MERCEDES,Desistimiento,131
2017,MORENO-GRAL.RODRIGUEZ,Desistimiento,39
2017,MORON,Desistimiento,223
2017,NECOCHEA,Desistimiento,23
2017,PERGAMINO,Desistimiento,20
2017,QUILMES,Desistimiento,191
2017,SAN ISIDRO,Desistimiento,443
2017,SAN MARTIN,Desistimiento,231
2017,SAN NICOLAS,Desistimiento,15
2017,TRENQUE LAUQUEN,Desistimiento,4
2017,ZARATE-CAMPANA,Desistimiento,77
2017,AZUL,Interlocutorios,2441
2017,AZUL Sede OLAVARRIA,Interlocutorios,44
2017,AZUL Sede TANDIL,Interlocutorios,1301
2017,BAHIA BLANCA,Interlocutorios,1468
2017,BAHIA BLANCA Sede TRES ARROYOS,Interlocutorios,556
2017,DOLORES,Interlocutorios,308
2017,JUNIN,Interlocutorios,220
2017,LA MATANZA,Interlocutorios,1082
2017,LA PLATA,Interlocutorios,3498
2017,LOMAS DE ZAMORA,Interlocutorios,1547
2017,LOMAS DE ZAMORA Sede AVELLANEDA,Interlocutorios,151
2017,LOMAS DE ZAMORA Sede LANUS,Interlocutorios,1
2017,MAR DEL PLATA,Interlocutorios,915
2017,MERCEDES,Interlocutorios,761
2017,MORENO-GRAL.RODRIGUEZ,Interlocutorios,798
2017,MORON,Interlocutorios,1643
2017,NECOCHEA,Interlocutorios,621
2017,PERGAMINO,Interlocutorios,144
2017,QUILMES,Interlocutorios,1303
2017,SAN ISIDRO,Interlocutorios,1948
2017,SAN MARTIN,Interlocutorios,669
2017,SAN NICOLAS,Interlocutorios,126
2017,TRENQUE LAUQUEN,Interlocutorios,45
2017,ZARATE-CAMPANA,Interlocutorios,190
2017,AZUL,Incompetencia,273
2017,AZUL Sede OLAVARRIA,Incompetencia,91
2017,AZUL Sede TANDIL,Incompetencia,39
2017,BAHIA BLANCA,Incompetencia,273
2017,BAHIA BLANCA Sede TRES ARROYOS,Incompetencia,11
2017,DOLORES,Incompetencia,77
2017,JUNIN,Incompetencia,159
2017,LA MATANZA,Incompetencia,440
2017,LA PLATA,Incompetencia,2573
2017,LOMAS DE ZAMORA,Incompetencia,795
2017,LOMAS DE ZAMORA Sede AVELLANEDA,Incompetencia,6
2017,LOMAS DE ZAMORA Sede LANUS,Incompetencia,115
2017,MAR DEL PLATA,Incompetencia,295
2017,MERCEDES,Incompetencia,310
2017,MORENO-GRAL.RODRIGUEZ,Incompetencia,36
2017,MORON,Incompetencia,472
2017,NECOCHEA,Incompetencia,10
2017,PERGAMINO,Incompetencia,81
2017,QUILMES,Incompetencia,204
2017,SAN ISIDRO,Incompetencia,1772
2017,SAN MARTIN,Incompetencia,940
2017,SAN NICOLAS,Incompetencia,666
2017,TRENQUE LAUQUEN,Incompetencia,68
2017,ZARATE-CAMPANA,Incompetencia,504
2017,AZUL,Total Resueltas,3592
2017,AZUL Sede OLAVARRIA,Total Resueltas,1715
2017,AZUL Sede TANDIL,Total Resueltas,2384
2017,BAHIA BLANCA,Total Resueltas,4236
2017,BAHIA BLANCA Sede TRES ARROYOS,Total Resueltas,1148
2017,DOLORES,Total Resueltas,1212
2017,JUNIN,Total Resueltas,2163
2017,LA MATANZA,Total Resueltas,5490
2017,LA PLATA,Total Resueltas,13098
2017,LOMAS DE ZAMORA,Total Resueltas,8783
2017,LOMAS DE ZAMORA Sede AVELLANEDA,Total Resueltas,600
2017,LOMAS DE ZAMORA Sede LANUS,Total Resueltas,699
2017,MAR DEL PLATA,Total Resueltas,4511
2017,MERCEDES,Total Resueltas,3336
2017,MORENO-GRAL.RODRIGUEZ,Total Resueltas,1427
2017,MORON,Total Resueltas,7336
2017,NECOCHEA,Total Resueltas,886
2017,PERGAMINO,Total Resueltas,1441
2017,QUILMES,Total Resueltas,7117
2017,SAN ISIDRO,Total Resueltas,11952
2017,SAN MARTIN,Total Resueltas,9986
2017,SAN NICOLAS,Total Resueltas,1929
2017,TRENQUE LAUQUEN,Total Resueltas,488
2017,ZARATE-CAMPANA,Total Resueltas,2162
2018,AZUL,Ingresadas,1734
2018,AZUL Sede OLAVARRIA,Ingresadas,1486
2018,AZUL Sede TANDIL,Ingresadas,1869
2018,BAHIA BLANCA,Ingresadas,5845
2018,BAHIA BLANCA Sede TRES ARROYOS,Ingresadas,1210
2018,DOLORES,Ingresadas,2508
2018,JUNIN,Ingresadas,4188
2018,LA MATANZA,Ingresadas,19556
2018,LA PLATA,Ingresadas,27392
2018,LOMAS DE ZAMORA,Ingresadas,23448
2018,LOMAS DE ZAMORA Sede AVELLANEDA,Ingresadas,12312
2018,LOMAS DE ZAMORA Sede LANUS,Ingresadas,25224
2018,MAR DEL PLATA,Ingresadas,21384
2018,MERCEDES,Ingresadas,6329
2018,MORENO-GRAL.RODRIGUEZ,Ingresadas,3465
2018,MORON,Ingresadas,16531
2018,NECOCHEA,Ingresadas,4701
2018,PERGAMINO,Ingresadas,3348
2018,QUILMES,Ingresadas,15388
2018,SAN ISIDRO,Ingresadas,19133
2018,SAN MARTIN,Ingresadas,23251
2018,SAN NICOLAS,Ingresadas,5288
2018,TRENQUE LAUQUEN,Ingresadas,1220
2018,ZARATE-CAMPANA,Ingresadas,4915
2018,AZUL,Sentencia,627
2018,AZUL Sede OLAVARRIA,Sentencia,1309
2018,AZUL Sede TANDIL,Sentencia,655
2018,BAHIA BLANCA,Sentencia,1874
2018,BAHIA BLANCA Sede TRES ARROYOS,Sentencia,582
2018,DOLORES,Sentencia,348
2018,JUNIN,Sentencia,1340
2018,LA MATANZA,Sentencia,1555
2018,LA PLATA,Sentencia,5612
2018,LOMAS DE ZAMORA,Sentencia,3926
2018,LOMAS DE ZAMORA Sede AVELLANEDA,Sentencia,145
2018,LOMAS DE ZAMORA Sede LANUS,Sentencia,307
2018,MAR DEL PLATA,Sentencia,2281
2018,MERCEDES,Sentencia,1222
2018,MORENO-GRAL.RODRIGUEZ,Sentencia,481
2018,MORON,Sentencia,3176
2018,NECOCHEA,Sentencia,119
2018,PERGAMINO,Sentencia,1265
2018,QUILMES,Sentencia,3691
2018,SAN ISIDRO,Sentencia,3976
2018,SAN MARTIN,Sentencia,5934
2018,SAN NICOLAS,Sentencia,1119
2018,TRENQUE LAUQUEN,Sentencia,192
2018,ZARATE-CAMPANA,Sentencia,877
2018,AZUL,Conciliación,27
2018,AZUL Sede OLAVARRIA,Conciliación,36
2018,AZUL Sede TANDIL,Conciliación,5
2018,BAHIA BLANCA,Conciliación,25
2018,BAHIA BLANCA Sede TRES ARROYOS,Conciliación,2
2018,DOLORES,Conciliación,60
2018,JUNIN,Conciliación,26
2018,LA MATANZA,Conciliación,80
2018,LA PLATA,Conciliación,411
2018,LOMAS DE ZAMORA,Conciliación,499
2018,LOMAS DE ZAMORA Sede AVELLANEDA,Conciliación,132
2018,LOMAS DE ZAMORA Sede LANUS,Conciliación,5
2018,MAR DEL PLATA,Conciliación,212
2018,MERCEDES,Conciliación,77
2018,MORENO-GRAL.RODRIGUEZ,Conciliación,7
2018,MORON,Conciliación,140
2018,NECOCHEA,Conciliación,37
2018,PERGAMINO,Conciliación,22
2018,QUILMES,Conciliación,118
2018,SAN ISIDRO,Conciliación,100
2018,SAN MARTIN,Conciliación,148
2018,SAN NICOLAS,Conciliación,15
2018,TRENQUE LAUQUEN,Conciliación,54
2018,ZARATE-CAMPANA,Conciliación,57
2018,AZUL,Allanamiento,10
2018,AZUL Sede OLAVARRIA,Allanamiento,0
2018,AZUL Sede TANDIL,Allanamiento,1
2018,BAHIA BLANCA,Allanamiento,4
